week,tool_id,scheduled_hours,pm_hours,downtime_hours,available_hours,toolset,process,theoretical_wph,effective_capacity
1,LITHO_A01,168,6,19,143,LITHO_A,Lithography,20,2860
1,LITHO_A02,168,12,14,142,LITHO_A,Lithography,21,2982
1,LITHO_A03,168,10,7,151,LITHO_A,Lithography,19,2869
1,LITHO_B01,168,12,20,136,LITHO_B,Lithography,18,2448
1,LITHO_B02,168,6,18,144,LITHO_B,Lithography,20,2880
1,LITHO_B03,168,6,10,152,LITHO_B,Lithography,19,2888
1,ETCH_A01,168,10,20,138,ETCH_A,Etch,35,4830
1,ETCH_A02,168,3,7,158,ETCH_A,Etch,34,5372
1,ETCH_A03,168,7,2,159,ETCH_A,Etch,36,5724
1,ETCH_B01,168,5,20,143,ETCH_B,Etch,32,4576
1,ETCH_B02,168,1,11,156,ETCH_B,Etch,33,5148
1,ETCH_B03,168,5,1,162,ETCH_B,Etch,31,5022
1,DEPO_A01,168,11,20,137,DEPO_A,Deposition,28,3836
1,DEPO_A02,168,0,11,157,DEPO_A,Deposition,30,4710
1,DEPO_A03,168,9,11,148,DEPO_A,Deposition,29,4292
1,DEPO_B01,168,8,16,144,DEPO_B,Deposition,26,3744
1,DEPO_B02,168,10,9,149,DEPO_B,Deposition,27,4023
1,DEPO_B03,168,11,15,142,DEPO_B,Deposition,28,3976
1,CMP_A01,168,2,11,155,CMP_A,CMP,22,3410
1,CMP_A02,168,6,19,143,CMP_A,CMP,23,3289
1,CMP_A03,168,8,2,158,CMP_A,CMP,21,3318
1,CMP_B01,168,4,18,146,CMP_B,CMP,20,2920
1,CMP_B02,168,6,20,142,CMP_B,CMP,21,2982
1,CMP_B03,168,8,6,154,CMP_B,CMP,22,3388
1,IMPLANT_A01,168,1,3,164,IMPLANT_A,Implant,25,4100
1,IMPLANT_A02,168,8,13,147,IMPLANT_A,Implant,26,3822
1,IMPLANT_A03,168,1,8,159,IMPLANT_A,Implant,24,3816
1,IMPLANT_B01,168,9,20,139,IMPLANT_B,Implant,23,3197
1,IMPLANT_B02,168,1,19,148,IMPLANT_B,Implant,24,3552
1,IMPLANT_B03,168,11,14,143,IMPLANT_B,Implant,25,3575
2,LITHO_A01,168,11,6,151,LITHO_A,Lithography,20,3020
2,LITHO_A02,168,11,7,150,LITHO_A,Lithography,21,3150
2,LITHO_A03,168,2,13,153,LITHO_A,Lithography,19,2907
2,LITHO_B01,168,0,3,165,LITHO_B,Lithography,18,2970
2,LITHO_B02,168,1,7,160,LITHO_B,Lithography,20,3200
2,LITHO_B03,168,3,1,164,LITHO_B,Lithography,19,3116
2,ETCH_A01,168,5,9,154,ETCH_A,Etch,35,5390
2,ETCH_A02,168,3,17,148,ETCH_A,Etch,34,5032
2,ETCH_A03,168,9,11,148,ETCH_A,Etch,36,5328
