tool_id,toolset,process,theoretical_wph
LITHO_A01,LITHO_A,Lithography,20
LITHO_A02,LITHO_A,Lithography,21
LITHO_A03,LITHO_A,Lithography,19
LITHO_B01,LITHO_B,Lithography,18
LITHO_B02,LITHO_B,Lithography,20
LITHO_B03,LITHO_B,Lithography,19
ETCH_A01,ETCH_A,Etch,35
ETCH_A02,ETCH_A,Etch,34
ETCH_A03,ETCH_A,Etch,36
ETCH_B01,ETCH_B,Etch,32
ETCH_B02,ETCH_B,Etch,33
ETCH_B03,ETCH_B,Etch,31
DEPO_A01,DEPO_A,Deposition,28
DEPO_A02,DEPO_A,Deposition,30
DEPO_A03,DEPO_A,Deposition,29
DEPO_B01,DEPO_B,Deposition,26
DEPO_B02,DEPO_B,Deposition,27
DEPO_B03,DEPO_B,Deposition,28
CMP_A01,CMP_A,CMP,22
CMP_A02,CMP_A,CMP,23
CMP_A03,CMP_A,CMP,21
CMP_B01,CMP_B,CMP,20
CMP_B02,CMP_B,CMP,21
CMP_B03,CMP_B,CMP,22
IMPLANT_A01,IMPLANT_A,Implant,25
IMPLANT_A02,IMPLANT_A,Implant,26
IMPLANT_A03,IMPLANT_A,Implant,24
IMPLANT_B01,IMPLANT_B,Implant,23
IMPLANT_B02,IMPLANT_B,Implant,24
IMPLANT_B03,IMPLANT_B,Implant,25
